                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1197,                 3.4006,                 1.5757,                0.00788,                      1,                0.28017,                0.20901,                0.55595,                 3.3697,                 1.3715,              0.0001111,              0.0001111,              0.0001111
                      2,                0.84889,                  2.866,                 1.3524,                 0.0056,                      1,                0.29209,                0.23489,                 0.5631,                 3.1352,                 1.2092,               0.000231,               0.000231,               0.000231
                      3,                0.88367,                 2.5385,                 1.3633,                0.00597,                      1,                0.34451,                0.27725,                0.70558,                 2.8375,                 1.4537,             0.00034848,             0.00034848,             0.00034848
                      4,                0.82586,                 2.2724,                 1.3171,                0.29992,                0.23466,                  0.409,                0.34638,                0.66128,                 2.2469,                 1.3573,             0.00046354,             0.00046354,             0.00046354
                      5,                 0.8076,                 2.1056,                 1.2573,                 0.6639,                0.61911,                0.60301,                0.45174,                0.85117,                 1.9905,                 1.6455,             0.00057618,             0.00057618,             0.00057618
                      6,                0.82834,                 2.0953,                 1.2848,                0.57153,                0.76607,                 0.6957,                0.55385,                0.77633,                 1.7715,                 1.4439,              0.0006864,              0.0006864,              0.0006864
                      7,                0.79969,                 1.8674,                 1.2458,                0.49814,                0.66713,                0.65973,                0.45224,                0.95652,                 1.8988,                 1.6849,             0.00079421,             0.00079421,             0.00079421
                      8,                0.84429,                 1.7794,                 1.2753,                0.44816,                0.83033,                0.68257,                0.50165,                0.93868,                 1.7426,                  1.762,             0.00089959,             0.00089959,             0.00089959
                      9,                0.78241,                 1.7202,                 1.2142,                0.65621,                0.76145,                0.70373,                0.48687,                0.94638,                 1.8355,                 1.7972,              0.0010025,              0.0010025,              0.0010025
                     10,                0.82416,                 1.7664,                 1.2792,                0.58087,                0.75384,                0.74303,                0.49368,                  1.011,                 1.8765,                 1.6997,               0.001012,               0.001012,               0.001012
                     11,                0.83408,                 1.7403,                 1.2824,                0.72475,                0.65495,                0.78766,                0.63568,                0.81599,                 1.6384,                 1.6598,               0.001001,               0.001001,               0.001001
                     12,                0.77843,                 1.6417,                 1.2216,                0.41623,                0.82855,                0.67067,                0.45708,                 1.0821,                 1.9981,                 1.7528,             0.00099001,             0.00099001,             0.00099001
                     13,                0.79153,                 1.5742,                 1.2363,                0.34959,                0.80831,                0.56136,                0.33619,                 1.1537,                 3.4079,                 1.7066,             0.00097901,             0.00097901,             0.00097901
                     14,                0.82444,                 1.5591,                 1.2434,                0.63561,                0.87699,                0.85834,                0.67512,                0.81974,                 1.6269,                  1.446,             0.00096801,             0.00096801,             0.00096801
                     15,                 0.7676,                  1.556,                 1.2334,                0.70752,                0.78513,                0.86993,                0.65293,                0.88499,                 1.5783,                 1.6255,             0.00095702,             0.00095702,             0.00095702
                     16,                0.82475,                 1.4597,                 1.2442,                 0.5855,                0.83166,                0.75982,                0.58484,                0.87301,                 1.6509,                 1.5793,             0.00094602,             0.00094602,             0.00094602
                     17,                0.80986,                  1.513,                 1.2627,                0.80676,                0.78411,                0.89288,                0.71375,                0.87353,                  1.146,                 1.6459,             0.00093502,             0.00093502,             0.00093502
                     18,                0.77137,                 1.4137,                 1.2075,                0.69387,                0.91648,                0.91615,                0.77215,                0.66849,                 1.1329,                 1.3294,             0.00092402,             0.00092402,             0.00092402
                     19,                0.78045,                 1.3082,                 1.2462,                0.83827,                0.92549,                0.92236,                0.74891,                0.77703,                0.94171,                 1.4922,             0.00091302,             0.00091302,             0.00091302
                     20,                0.72649,                 1.2947,                 1.1827,                0.66011,                0.81947,                0.82228,                0.64244,                0.77292,                 1.3463,                 1.4649,             0.00090202,             0.00090202,             0.00090202
                     21,                0.69961,                 1.3312,                 1.1692,                 0.8049,                0.92443,                0.89944,                0.69975,                0.85709,                 1.1918,                 1.5802,             0.00089102,             0.00089102,             0.00089102
                     22,                0.70025,                 1.3112,                 1.1791,                0.75791,                0.90665,                0.86807,                0.73143,                0.71152,                0.99493,                 1.4812,             0.00088002,             0.00088002,             0.00088002
                     23,                0.73398,                 1.2689,                 1.1855,                0.91002,                0.96586,                0.97422,                0.80966,                0.70873,                0.78574,                 1.4249,             0.00086902,             0.00086902,             0.00086902
                     24,                0.71429,                 1.1955,                 1.1781,                0.87209,                      1,                0.98878,                 0.8117,                0.73809,                0.72715,                 1.4332,             0.00085803,             0.00085803,             0.00085803
                     25,                0.69404,                  1.168,                 1.1724,                0.89829,                0.94186,                0.97657,                0.80042,                0.71586,                0.71604,                 1.3992,             0.00084703,             0.00084703,             0.00084703
                     26,                0.68832,                 1.1614,                 1.1719,                0.81608,                0.86365,                0.94333,                0.82374,                  0.622,                0.77245,                 1.2881,             0.00083603,             0.00083603,             0.00083603
                     27,                0.70266,                 1.2138,                 1.1762,                0.86829,                  0.975,                   0.97,                0.81809,                0.71695,                0.70254,                 1.3762,             0.00082503,             0.00082503,             0.00082503
                     28,                0.66117,                 1.1072,                  1.154,                0.83303,                0.91726,                0.93463,                0.76262,                0.73391,                0.80788,                 1.4183,             0.00081403,             0.00081403,             0.00081403
                     29,                0.69116,                 1.1159,                 1.1642,                0.88994,                0.79928,                0.92881,                0.77539,                0.72722,                0.76922,                 1.3863,             0.00080303,             0.00080303,             0.00080303
                     30,                0.71735,                 1.1421,                 1.1932,                0.75417,                0.95584,                0.93501,                0.81008,                 0.6444,                 0.7463,                 1.3096,             0.00079203,             0.00079203,             0.00079203
                     31,                0.68317,                 1.0837,                 1.1423,                 0.8308,                0.92758,                0.94813,                0.81028,                0.62701,                0.68489,                 1.3602,             0.00078103,             0.00078103,             0.00078103
                     32,                0.64965,                 1.1282,                  1.148,                0.88308,                0.94684,                 0.9834,                0.83954,                0.64572,                0.62733,                 1.3352,             0.00077003,             0.00077003,             0.00077003
                     33,                 0.6733,                 1.0963,                 1.1428,                0.82619,                0.95917,                0.97183,                0.82142,                0.65936,                0.61489,                 1.3209,             0.00075904,             0.00075904,             0.00075904
                     34,                0.67587,                 1.1349,                 1.1657,                0.84696,                0.95682,                0.95834,                0.80089,                0.69621,                0.72022,                 1.3755,             0.00074804,             0.00074804,             0.00074804
                     35,                0.60757,                 1.0019,                 1.0884,                0.89183,                0.87227,                0.96726,                0.81466,                0.68612,                 0.6816,                 1.3801,             0.00073704,             0.00073704,             0.00073704
                     36,                0.65065,                0.99908,                 1.1381,                0.95914,                0.94739,                  0.995,                0.85334,                0.61756,                0.54591,                 1.3142,             0.00072604,             0.00072604,             0.00072604
                     37,                0.64031,                 1.0702,                 1.1181,                0.81701,                0.93457,                0.95629,                0.82618,                0.65653,                0.68592,                 1.3238,             0.00071504,             0.00071504,             0.00071504
                     38,                0.68181,                0.98307,                  1.145,                0.71176,                0.92594,                 0.9326,                0.80314,                0.66999,                0.84221,                 1.3072,             0.00070404,             0.00070404,             0.00070404
                     39,                0.67301,                 1.0331,                 1.1711,                0.98408,                0.97495,                0.99233,                0.85849,                0.66169,                0.54201,                 1.3177,             0.00069304,             0.00069304,             0.00069304
                     40,                0.67092,                 1.0782,                 1.1585,                0.79448,                0.95164,                0.94091,                0.80341,                0.65677,                0.66685,                 1.3605,             0.00068204,             0.00068204,             0.00068204
                     41,                0.63807,                0.94286,                 1.1021,                0.90356,                0.99738,                 0.9905,                0.84377,                0.68586,                0.53592,                 1.3904,             0.00067104,             0.00067104,             0.00067104
                     42,                 0.6827,                 1.0085,                 1.1458,                0.76563,                0.91582,                0.92339,                0.78679,                0.68601,                0.78503,                  1.377,             0.00066005,             0.00066005,             0.00066005
                     43,                0.66227,                0.98458,                 1.1441,                0.93954,                      1,                  0.995,                0.84795,                0.68931,                0.51913,                 1.3477,             0.00064905,             0.00064905,             0.00064905
                     44,                0.62056,                0.91296,                 1.1239,                0.94452,                0.98892,                  0.995,                0.86679,                0.66755,                0.49428,                 1.3305,             0.00063805,             0.00063805,             0.00063805
                     45,                0.64865,                 1.0114,                 1.1193,                0.77592,                0.96267,                0.93358,                0.83595,                0.58662,                0.63829,                 1.2781,             0.00062705,             0.00062705,             0.00062705
                     46,                0.65506,                0.92552,                 1.1281,                0.90923,                0.93586,                0.98492,                0.85741,                0.58871,                 0.5682,                 1.2768,             0.00061605,             0.00061605,             0.00061605
                     47,                0.59244,                0.96371,                 1.1398,                0.93995,                0.92556,                0.98198,                0.85824,                0.62135,                0.59044,                 1.2828,             0.00060505,             0.00060505,             0.00060505
                     48,                0.62691,                0.93553,                  1.125,                 0.8236,                0.92257,                0.94097,                0.79959,                 0.6686,                0.65453,                 1.3121,             0.00059405,             0.00059405,             0.00059405
                     49,                0.65474,                0.94306,                 1.1682,                0.97712,                0.94683,                0.99223,                0.87073,                0.60275,                0.44362,                 1.2761,             0.00058305,             0.00058305,             0.00058305
                     50,                0.66628,                0.90643,                 1.1789,                0.97715,                0.95921,                0.98729,                0.86116,                0.58166,                 0.4532,                 1.2372,             0.00057205,             0.00057205,             0.00057205
                     51,                0.62469,                0.94833,                 1.1054,                0.94102,                 0.9703,                0.98671,                0.87121,                0.56091,                0.47673,                 1.2202,             0.00056105,             0.00056105,             0.00056105
                     52,                 0.5854,                0.83512,                 1.0934,                0.96566,                0.97877,                0.99223,                 0.8672,                0.59813,                0.45198,                 1.2573,             0.00055006,             0.00055006,             0.00055006
                     53,                0.55334,                0.85849,                 1.0811,                0.87408,                      1,                0.98375,                0.85421,                0.65325,                0.51872,                 1.3302,             0.00053906,             0.00053906,             0.00053906
                     54,                0.56877,                0.88387,                 1.0847,                0.95763,                0.94773,                0.99114,                0.85761,                 0.5985,                0.49461,                 1.2568,             0.00052806,             0.00052806,             0.00052806
                     55,                0.58353,                0.92062,                 1.1004,                0.92563,                0.94094,                0.98086,                0.85924,                0.64752,                0.50153,                 1.2929,             0.00051706,             0.00051706,             0.00051706
                     56,                0.59861,                0.90663,                 1.0882,                0.89857,                0.93655,                0.97339,                0.84187,                0.64152,                 0.5031,                 1.3093,             0.00050606,             0.00050606,             0.00050606
                     57,                0.56472,                0.82253,                 1.0893,                0.85352,                0.96947,                0.96381,                0.83828,                0.62109,                0.53653,                 1.2953,             0.00049506,             0.00049506,             0.00049506
                     58,                0.59256,                 0.8796,                 1.0932,                0.92668,                0.93064,                0.98583,                0.86829,                0.60153,                0.49242,                 1.2799,             0.00048406,             0.00048406,             0.00048406
                     59,                0.58325,                0.79531,                 1.0908,                0.94493,                0.96707,                 0.9915,                0.84688,                0.62764,                0.43459,                 1.2861,             0.00047306,             0.00047306,             0.00047306
                     60,                0.58604,                0.80979,                 1.1219,                0.91666,                 0.9642,                  0.995,                0.83532,                0.64853,                0.48328,                 1.3091,             0.00046206,             0.00046206,             0.00046206
                     61,                0.53608,                0.85858,                 1.0537,                0.90272,                0.92302,                0.98634,                0.84389,                0.65914,                0.52625,                 1.3542,             0.00045107,             0.00045107,             0.00045107
